,Main food description,WWEIA Category description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added
(mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"4:0
(g)","6:0
(g)","8:0
(g)","10:0
(g)","12:0
(g)","14:0
(g)","16:0
(g)","18:0
(g)","16:1
(g)","18:1
(g)","20:1
(g)","22:1
(g)","18:2
(g)","18:3
(g)","18:4
(g)","20:4
(g)","20:5 n-3
(g)","22:5 n-3
(g)","22:6 n-3
(g)","Water
(g)",Kosher_Status,Halal_Status,Hinduism_Status,Buddhism_Status,Rastafarianism_Status,Diabetic_Status,Low_Sodium_Status,Low_Fat_Status,Low_Cholesterol_Status,Fructose_Intolerance_Status,Nightshade_Sensitivity_Status,Histamine_Intolerance_Status,Vegan_Status,Vegetarian_Status,Pescatarian_Status,Raw_Food_Diet_Status,Paleo_Status,Keto_Status,Lactose_Intolerance_Status,Gluten_Intolerance_Status,Nut_Allergy_Status,Shellfish_Allergy_Status,Fish_Allergy_Status,Soy_Allergy_Status
44,"Spinach dip, regular","Dips, gravies, other sauces",345,2.35,3.44,2.3,0.3,35.83,8.753,7.949,17.402,38,72,119,0,555,2,0,1204,0.035,0.106,0.088,0.037,0,14,14,14,25.0,0.15,0.0,0.5,0.2,1.67,0.0,104.1,75,66,12,0.23,0.31,0.02,3.0,113,570,0,0,0.0,0.019,0.083,0.059,0.153,0.219,0.72,5.042,1.825,0.151,7.927,0.102,0.008,15.099,2.14,0.0,0.029,0.002,0.004,0.002,56.33,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0
45,"Spinach dip, light","Dips, gravies, other sauces",165,2.2,11.42,6.52,0.3,12.41,3.874,3.038,4.943,20,42,89,0,549,1,0,1159,0.032,0.078,0.078,0.027,0,15,15,15,14.8,0.24,0.0,0.5,0.2,1.18,0.0,59.5,84,50,12,0.22,0.31,0.025,2.8,134,488,0,0,0.0,0.131,0.079,0.044,0.103,0.119,0.424,1.97,0.833,0.102,2.83,0.028,0.005,4.278,0.656,0.0,0.007,0.0,0.0,0.001,72.38,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0
46,"Vegetable dip, regular","Dips, gravies, other sauces",429,2.23,3.57,2.05,0.3,45.12,10.889,10.028,22.113,46,81,82,0,14,2,0,31,0.028,0.114,0.146,0.032,0,7,7,7,26.9,0.09,0.0,1.7,0.1,1.86,0.0,93.1,68,64,9,0.32,0.32,0.017,3.1,112,713,0,0,0.0,0.015,0.099,0.07,0.183,0.266,0.876,6.298,2.282,0.185,10.0,0.13,0.011,19.202,2.703,0.0,0.036,0.003,0.005,0.003,46.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,"Vegetable dip, light","Dips, gravies, other sauces",198,2.04,13.6,7.37,0.3,15.19,4.643,3.744,6.201,24,43,46,0,34,1,0,35,0.024,0.079,0.13,0.02,0,9,9,9,14.0,0.19,0.0,1.6,0.1,1.23,0.0,37.5,79,44,9,0.3,0.32,0.024,2.8,138,602,0,0,0.0,0.157,0.092,0.051,0.12,0.138,0.496,2.369,1.01,0.123,3.482,0.035,0.007,5.38,0.807,0.0,0.008,0.0,0.0,0.001,67.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,"Ice cream, NFS",Ice cream and frozen dairy desserts,221,3.57,26.36,22.86,0.8,11.3,6.863,3.125,0.498,42,110,112,0,18,0,0,0,0.044,0.236,0.154,0.046,1,5,6,6,25.3,0.38,0.0,0.6,0.2,0.39,0.0,0.8,124,106,16,0.3,0.72,0.043,1.9,203,90,1,12,0.0,0.349,0.201,0.115,0.268,0.298,1.082,3.106,1.404,0.199,2.922,0.002,0.0,0.326,0.17,0.0,0.0,0.003,0.0,0.0,57.81,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
49,"Ice cream, vanilla",Ice cream and frozen dairy desserts,207,3.5,23.6,21.22,0.7,11.0,6.79,2.969,0.452,44,116,118,0,19,0,0,0,0.041,0.24,0.116,0.048,0,5,5,5,26.0,0.39,0.0,0.6,0.2,0.3,0.0,0.3,128,105,14,0.09,0.69,0.023,1.8,199,80,0,0,0.0,0.36,0.21,0.12,0.28,0.31,1.13,3.06,1.316,0.206,2.763,0.0,0.0,0.275,0.175,0.0,0.0,0.003,0.0,0.0,61.0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
50,"Ice cream, chocolate",Ice cream and frozen dairy desserts,216,3.8,28.2,25.36,1.2,11.0,6.8,3.21,0.41,34,116,118,0,19,0,0,0,0.042,0.194,0.226,0.055,0,16,16,16,22.5,0.29,0.0,0.7,0.2,0.3,0.0,0.3,109,107,29,0.93,0.58,0.135,2.5,249,76,3,62,0.0,0.34,0.2,0.12,0.26,0.29,1.07,3.06,1.46,0.24,2.97,0.0,0.0,0.25,0.15,0.0,0.0,0.0,0.0,0.0,55.7,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0
51,"Gelato, vanilla",Ice cream and frozen dairy desserts,249,3.5,22.29,20.65,0.0,16.2,10.329,4.46,0.68,92,179,182,1,32,1,0,34,0.041,0.167,0.082,0.045,0,8,9,8,26.0,0.39,0.0,0.0,0.3,0.51,0.0,1.3,117,105,11,0.34,0.47,0.008,3.5,157,61,0,0,0.0,0.491,0.29,0.169,0.38,0.425,1.526,4.168,1.899,0.36,4.098,0.002,0.0,0.437,0.222,0.001,0.014,0.001,0.0,0.004,57.2,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
52,"Gelato, chocolate",Ice cream and frozen dairy desserts,251,4.72,19.78,17.35,0.9,16.98,10.377,4.794,0.658,60,198,201,0,31,0,0,2,0.03,0.167,0.182,0.033,0,5,5,5,34.7,0.18,0.0,0.5,0.3,0.46,0.0,1.5,142,115,32,1.02,0.64,0.175,2.1,238,57,4,120,0.0,0.517,0.312,0.188,0.403,0.45,1.619,4.406,2.138,0.361,4.433,0.0,0.0,0.409,0.25,0.0,0.0,0.0,0.0,0.0,57.52,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0
53,"Ice cream bar, vanilla",Ice cream and frozen dairy desserts,358,2.11,37.12,21.05,1.1,25.26,17.895,1.173,2.208,16,35,35,0,5,0,0,0,0.043,0.069,0.548,0.106,0,3,3,3,45.0,0.09,0.0,0.0,0.1,2.25,0.0,22.3,63,57,11,0.0,0.32,0.031,4.0,71,84,0,0,0.0,0.414,0.244,0.122,0.271,0.316,1.192,11.671,3.483,0.027,1.137,0.001,0.0,2.012,0.19,0.0,0.001,0.0,0.0,0.0,35.48,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
54,Ice cream candy bar,Ice cream and frozen dairy desserts,323,4.4,30.9,30.0,0.6,20.2,12.658,4.977,1.469,1,44,48,0,44,0,0,0,0.04,0.18,0.96,0.22,0,11,11,11,29.7,0.38,0.0,0.7,0.2,0.42,0.0,1.3,252,114,29,0.72,0.63,0.128,2.4,238,92,3,32,0.0,0.271,0.199,0.557,0.631,3.244,2.052,3.654,1.824,0.186,4.626,0.041,0.0,1.345,0.124,0.0,0.0,0.0,0.0,0.0,43.1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0
55,"Ice cream bar, chocolate",Ice cream and frozen dairy desserts,329,4.41,25.17,17.97,1.5,23.89,13.099,6.351,3.201,27,15,19,0,43,0,0,1,0.062,0.261,0.215,0.044,0,8,8,8,29.3,0.48,0.0,0.0,0.2,0.41,0.0,1.3,119,184,37,0.56,0.94,0.15,2.6,329,67,8,72,0.0,0.176,0.148,0.61,0.576,3.418,1.791,3.76,2.536,0.158,6.193,0.0,0.0,2.923,0.277,0.0,0.0,0.0,0.0,0.0,45.43,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
56,"Ice cream cone, NFS",Ice cream and frozen dairy desserts,229,3.75,28.47,22.19,0.9,11.13,6.637,3.074,0.609,40,106,108,0,17,0,0,1,0.052,0.241,0.325,0.045,7,5,18,12,24.7,0.36,0.0,0.6,0.2,0.4,0.0,0.8,120,105,16,0.43,0.72,0.049,2.0,199,97,1,12,0.0,0.335,0.193,0.11,0.257,0.286,1.039,3.021,1.357,0.192,2.878,0.002,0.0,0.436,0.171,0.0,0.0,0.003,0.0,0.0,55.71,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
57,"Ice cream sundae, NFS",Ice cream and frozen dairy desserts,243,3.7,31.94,23.89,1.1,11.16,6.51,3.276,0.442,36,96,97,0,14,0,0,1,0.039,0.205,0.144,0.041,0,5,5,5,21.2,0.31,0.0,0.5,0.2,0.83,0.0,0.9,108,102,21,0.36,0.71,0.095,1.9,215,137,2,55,0.0,0.289,0.173,0.104,0.244,0.273,0.989,2.94,1.238,0.187,3.12,0.004,0.0,0.281,0.14,0.0,0.003,0.002,0.001,0.0,52.11,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
58,Banana split,Ice cream and frozen dairy desserts,199,2.42,32.59,24.17,1.0,6.88,4.07,1.919,0.296,24,65,66,2,12,0,0,6,0.038,0.131,0.254,0.078,0,7,7,7,17.2,0.21,0.0,4.5,0.1,0.42,0.0,0.5,74,69,18,0.17,0.45,0.067,1.3,212,97,1,20,0.0,0.19,0.115,0.068,0.159,0.178,0.639,1.851,0.769,0.121,1.821,0.002,0.0,0.183,0.098,0.0,0.002,0.002,0.0,0.0,57.22,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
59,"Ice cream, fried",Ice cream and frozen dairy desserts,282,3.94,32.77,20.9,1.2,15.16,6.674,4.701,2.709,34,88,90,0,15,0,0,15,0.083,0.243,0.934,0.066,14,7,31,21,20.9,0.3,0.0,0.5,0.2,0.81,0.0,5.5,112,115,18,0.79,0.71,0.05,2.6,184,159,0,0,0.0,0.275,0.16,0.092,0.213,0.237,0.871,3.126,1.635,0.16,4.53,0.011,0.0,2.364,0.341,0.0,0.001,0.002,0.0,0.0,47.12,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
60,"Light ice cream, NFS",Ice cream and frozen dairy desserts,174,4.38,25.44,14.29,0.2,6.14,3.488,1.568,0.48,27,106,107,0,13,0,0,0,0.041,0.188,0.105,0.037,0,5,5,5,24.5,0.5,0.0,1.0,0.1,0.2,0.0,1.6,148,89,12,0.19,0.52,0.024,2.0,202,85,0,0,0.0,0.177,0.108,0.07,0.133,0.14,0.483,1.35,0.763,0.079,1.3,0.006,0.002,0.15,0.058,0.002,0.006,0.001,0.0,0.0,62.68,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
61,Creamsicle,Ice cream and frozen dairy desserts,165,1.54,32.75,18.46,0.0,3.08,1.813,0.819,0.137,8,92,93,0,10,2,0,2,0.045,0.206,0.113,0.038,0,6,6,6,20.4,0.36,0.0,13.8,0.1,0.09,0.0,0.3,62,84,12,0.0,0.66,0.02,1.8,174,46,0,0,0.0,0.099,0.056,0.044,0.072,0.075,0.296,0.823,0.349,0.05,0.768,0.0,0.0,0.088,0.049,0.0,0.0,0.0,0.0,0.0,61.77,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
62,Fudgesicle,Ice cream and frozen dairy desserts,163,2.56,29.99,17.47,1.0,3.67,2.696,0.584,0.138,1,0,0,0,0,0,0,1,0.049,0.163,0.122,0.04,0,4,4,4,8.2,0.05,0.0,0.0,0.0,0.21,0.0,0.1,162,112,19,1.11,0.39,0.077,1.3,177,104,3,93,0.0,0.001,0.017,0.183,0.13,1.034,0.401,0.669,0.246,0.002,0.58,0.002,0.0,0.135,0.002,0.0,0.0,0.0,0.0,0.0,62.68,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
63,"Sherbet, all flavors",Ice cream and frozen dairy desserts,144,1.1,30.4,24.32,1.3,2.0,1.16,0.53,0.08,1,12,12,0,1,5,0,7,0.027,0.097,0.063,0.023,0,4,4,4,7.7,0.13,0.0,2.3,0.0,0.01,0.0,0.0,54,40,8,0.14,0.48,0.028,1.5,96,46,0,0,0.0,0.094,0.013,0.018,0.033,0.023,0.17,0.585,0.17,0.052,0.47,0.0,0.0,0.065,0.015,0.0,0.0,0.0,0.0,0.0,66.1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
64,"Fudgesicle, light",Ice cream and frozen dairy desserts,124,3.67,23.11,5.1,1.5,1.87,0.984,0.649,0.149,2,0,0,0,0,0,0,2,0.07,0.23,0.175,0.058,0,6,6,6,11.7,0.07,0.0,0.0,0.0,0.3,0.0,0.1,231,160,27,1.58,0.55,0.107,1.7,253,96,4,133,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.687,0.258,0.003,0.643,0.003,0.0,0.146,0.003,0.0,0.0,0.0,0.0,0.0,69.93,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
65,"Pudding, chocolate, NFS",Pudding,142,2.09,23.01,17.17,0.0,4.6,1.263,2.731,0.105,1,14,14,0,0,0,0,1,0.024,0.072,0.123,0.018,0,3,3,3,9.5,0.09,0.0,0.3,0.0,0.31,0.0,0.6,51,56,18,1.27,0.34,0.092,0.0,184,152,2,70,0.0,0.001,0.0,0.0,0.0,0.0,0.006,0.58,0.646,0.004,2.718,0.009,0.0,0.103,0.002,0.0,0.0,0.0,0.0,0.0,69.46,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,"Pudding, bread",Pudding,156,5.6,23.53,15.1,1.0,4.86,1.7,1.629,1.031,61,76,77,0,15,2,0,74,0.1,0.188,0.794,0.061,9,11,26,20,46.4,0.22,0.0,0.2,1.1,0.38,0.0,2.4,134,119,18,0.97,0.62,0.048,9.0,211,206,0,0,0.0,0.031,0.024,0.016,0.037,0.045,0.175,0.928,0.4,0.059,1.589,0.005,0.0,0.917,0.076,0.0,0.002,0.0,0.001,0.0,64.64,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0
67,Custard,Pudding,97,5.08,10.97,10.89,0.0,3.64,1.647,1.039,0.383,80,81,82,0,4,2,0,89,0.048,0.19,0.095,0.05,0,10,10,10,59.1,0.41,0.0,0.0,1.4,0.22,0.0,0.2,117,121,12,0.3,0.59,0.001,7.2,158,84,0,0,0.0,0.04,0.031,0.02,0.048,0.056,0.182,0.909,0.324,0.07,0.996,0.002,0.0,0.323,0.009,0.0,0.003,0.0,0.001,0.0,79.42,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1
68,Flan,Pudding,178,5.23,28.24,28.1,0.0,4.94,2.241,1.639,0.531,112,65,65,0,4,3,0,125,0.026,0.203,0.061,0.027,0,15,15,15,74.3,0.23,0.0,0.4,1.3,0.31,0.0,0.2,95,110,11,0.49,0.56,0.01,8.6,129,163,0,0,0.0,0.061,0.042,0.017,0.035,0.051,0.238,1.216,0.492,0.109,1.496,0.0,0.0,0.417,0.027,0.0,0.0,0.0,0.0,0.0,60.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Creme brulee,Pudding,113,4.06,17.85,17.86,0.0,2.83,1.391,0.732,0.226,45,67,67,0,4,1,0,45,0.043,0.159,0.097,0.046,0,6,6,6,36.1,0.34,0.0,0.0,1.2,0.12,0.0,0.2,115,107,12,0.16,0.49,0.002,4.6,150,74,0,0,0.0,0.041,0.032,0.02,0.049,0.057,0.183,0.718,0.257,0.05,0.713,0.002,0.0,0.197,0.008,0.0,0.003,0.0,0.001,0.0,74.41,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
70,"Pudding, rice",Pudding,108,3.23,18.39,11.59,0.3,2.15,1.208,0.556,0.129,12,19,19,0,4,0,0,9,0.027,0.183,0.217,0.052,0,4,4,4,7.8,0.15,0.0,1.3,0.0,0.07,0.0,0.2,95,82,8,0.11,0.43,0.023,3.2,125,97,0,0,0.0,0.043,0.03,0.019,0.058,0.056,0.185,0.59,0.19,0.035,0.492,0.004,0.0,0.113,0.008,0.0,0.005,0.0,0.0,0.0,75.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
71,Banana pudding,Pudding,160,2.57,28.0,19.74,0.7,4.26,1.22,1.999,0.617,38,20,20,2,3,1,0,48,0.061,0.107,0.544,0.081,5,10,19,15,30.0,0.18,0.0,3.2,0.3,0.26,0.0,1.0,41,57,13,0.42,0.28,0.046,3.8,149,128,0,0,0.0,0.006,0.005,0.002,0.005,0.006,0.03,0.708,0.447,0.029,1.966,0.003,0.0,0.554,0.033,0.0,0.002,0.001,0.0,0.001,64.52,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0
72,Mousse,Pudding,212,4.2,16.23,15.1,0.6,15.12,8.143,4.044,0.842,118,137,138,3,10,3,0,93,0.049,0.189,0.151,0.066,0,13,13,13,73.0,0.34,0.0,0.2,1.5,0.72,0.0,1.5,102,122,21,0.52,0.65,0.067,6.8,154,34,7,44,0.0,0.189,0.156,0.099,0.234,0.278,0.885,3.888,2.214,0.248,4.093,0.023,0.001,0.605,0.045,0.0,0.051,0.003,0.005,0.01,63.62,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
73,Dulce de leche,Pudding,315,6.84,55.35,49.74,0.0,7.35,4.534,2.143,0.375,29,73,74,0,14,0,0,0,0.016,0.405,0.21,0.016,0,11,11,11,89.1,0.31,0.0,2.6,0.2,0.2,0.0,1.3,251,193,22,0.17,0.79,0.004,2.7,350,129,0,0,0.0,0.176,0.135,0.082,0.207,0.211,0.75,2.007,0.805,0.163,1.895,0.017,0.0,0.288,0.052,0.003,0.009,0.004,0.009,0.0,28.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
74,Trifle,Pudding,169,3.52,23.24,15.76,0.4,7.15,4.071,2.104,0.419,65,77,82,0,44,13,0,62,0.086,0.134,0.615,0.049,8,7,22,16,29.2,0.24,0.0,0.5,0.5,0.37,0.0,1.2,73,90,10,0.83,0.39,0.036,4.5,125,180,0,0,0.0,0.19,0.114,0.067,0.152,0.17,0.607,1.834,0.803,0.16,1.865,0.002,0.0,0.308,0.087,0.0,0.009,0.0,0.0,0.002,65.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Tiramisu,Cakes and pies,353,5.65,29.44,18.7,0.6,23.86,13.284,5.426,1.319,121,184,185,2,6,2,0,72,0.097,0.248,0.899,0.055,6,14,24,20,39.0,0.2,0.0,1.1,0.6,0.71,0.0,1.7,65,109,16,1.12,0.64,0.065,9.6,150,173,34,21,0.0,0.449,0.372,0.233,0.549,0.649,2.058,6.361,2.158,0.481,5.809,0.047,0.002,0.77,0.09,0.0,0.07,0.007,0.012,0.009,39.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,"Cheese, NFS",Cheese,381,20.7,4.33,2.08,0.0,31.26,17.763,6.91,1.138,95,289,294,0,55,5,0,15,0.029,0.399,0.084,0.077,0,18,18,18,20.9,1.23,0.0,0.0,3.0,0.78,0.0,2.7,849,532,28,0.39,3.15,0.031,24.3,129,964,0,0,0.0,0.607,0.503,0.324,0.777,0.892,2.858,8.161,3.096,0.48,6.827,0.074,0.001,1.059,0.121,0.003,0.045,0.01,0.017,0.002,38.85,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
77,"Cheese, Brick",Cheese,371,23.24,2.79,0.51,0.0,29.68,18.764,8.598,0.784,94,286,292,0,76,0,0,0,0.014,0.351,0.118,0.065,0,20,20,20,15.4,1.26,0.0,0.0,0.5,0.26,0.0,2.5,674,451,24,0.43,2.6,0.024,14.5,136,560,0,0,0.0,0.914,0.373,0.299,0.585,0.482,3.227,8.655,3.455,0.817,7.401,0.0,0.0,0.491,0.293,0.0,0.0,0.0,0.0,0.0,41.11,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
78,"Cheese, Camembert",Cheese,300,19.8,0.46,0.46,0.0,24.26,15.259,7.023,0.724,72,240,241,0,12,0,0,0,0.028,0.488,0.63,0.227,0,62,62,62,15.4,1.3,0.0,0.0,0.4,0.21,0.0,2.0,388,347,20,0.33,2.38,0.021,14.5,187,842,0,0,0.0,0.494,0.283,0.26,0.59,0.442,2.686,7.227,2.524,0.883,5.752,0.0,0.0,0.45,0.274,0.0,0.0,0.0,0.0,0.0,51.8,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
79,"Cheese, Brie",Cheese,334,20.75,0.45,0.45,0.0,27.68,17.41,8.013,0.826,100,173,174,0,9,0,0,0,0.07,0.52,0.38,0.235,0,65,65,65,15.4,1.65,0.0,0.0,0.5,0.24,0.0,2.3,184,188,20,0.5,2.38,0.019,14.5,152,629,0,0,0.0,0.564,0.323,0.297,0.673,0.504,3.065,8.246,2.88,1.007,6.563,0.0,0.0,0.513,0.313,0.0,0.0,0.0,0.0,0.0,48.42,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
80,"Cheese, Cheddar",Cheese,409,23.3,2.44,0.33,0.0,34.0,19.2,7.44,1.18,100,316,316,0,0,0,0,0,0.029,0.441,0.052,0.069,0,21,21,21,16.5,1.06,0.0,0.0,0.6,0.75,0.0,2.4,707,458,27,0.16,3.67,0.033,28.3,77,654,0,0,0.0,0.653,0.543,0.349,0.843,0.963,3.1,8.79,3.39,0.516,7.41,0.064,0.001,1.16,0.121,0.001,0.051,0.01,0.018,0.001,36.6,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
81,"Cheese, Colby",Cheese,394,23.76,2.57,0.52,0.0,32.11,20.218,9.28,0.953,95,257,264,0,82,0,0,0,0.015,0.375,0.093,0.079,0,18,18,18,15.4,0.83,0.0,0.0,0.6,0.28,0.0,2.7,685,457,26,0.76,3.07,0.042,14.5,127,604,0,0,0.0,1.041,0.259,0.324,0.597,0.422,3.831,8.232,3.63,0.979,7.813,0.0,0.0,0.676,0.277,0.0,0.0,0.0,0.0,0.0,38.2,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
82,"Cheese, Feta",Cheese,273,19.71,5.58,1.63,0.0,19.08,11.2,4.18,0.591,58,147,147,0,0,0,0,0,0.056,0.444,0.264,0.038,0,32,32,32,15.4,1.69,0.0,0.0,0.0,0.18,0.0,1.8,371,328,18,0.07,2.35,0.032,15.0,105,1034,0,0,0.0,0.404,0.334,0.503,0.481,0.545,1.8,5.31,1.74,0.285,3.66,0.0,0.0,0.424,0.265,0.0,0.0,0.0,0.0,0.0,51.89,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1
83,"Cheese, Fontina",Cheese,389,25.6,1.55,1.55,0.0,31.14,19.196,8.687,1.654,116,258,261,0,32,0,0,0,0.021,0.204,0.15,0.083,0,6,6,6,15.4,1.68,0.0,0.0,0.6,0.27,0.0,2.6,550,346,14,0.23,3.5,0.025,14.5,64,800,0,0,0.0,0.715,0.489,0.314,0.651,0.804,2.964,8.458,2.655,0.89,7.1,0.0,0.0,0.864,0.79,0.0,0.0,0.0,0.0,0.0,37.92,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
84,"Cheese, goat",Cheese,364,21.58,0.12,0.12,0.0,29.84,20.639,6.808,0.709,79,401,407,0,77,0,0,0,0.072,0.676,1.148,0.06,0,2,2,2,15.4,0.22,0.0,0.0,0.5,0.26,0.0,2.5,298,375,29,1.62,0.66,0.564,3.8,158,415,0,0,0.0,1.496,0.656,0.806,2.879,1.318,3.026,7.809,2.648,0.709,6.099,0.0,0.0,0.709,0.0,0.0,0.0,0.0,0.0,0.0,45.52,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
85,"Cheese, Gruyere",Cheese,413,29.81,0.36,0.36,0.0,32.34,18.913,10.043,1.733,110,268,271,0,33,0,0,0,0.06,0.279,0.106,0.081,0,10,10,10,15.4,1.6,0.0,0.0,0.6,0.28,0.0,2.7,1011,605,36,0.17,3.9,0.032,14.5,81,714,0,0,0.0,1.049,0.621,0.355,0.751,0.911,3.369,8.753,2.324,0.724,8.582,0.0,0.0,1.3,0.433,0.0,0.0,0.0,0.0,0.0,33.19,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
86,"Cheese, Limburger",Cheese,327,20.05,0.49,0.49,0.0,27.25,16.746,8.606,0.495,90,339,340,0,15,0,0,0,0.08,0.503,0.158,0.086,0,58,58,58,15.4,1.04,0.0,0.0,0.5,0.23,0.0,2.3,497,393,21,0.13,2.1,0.021,14.5,128,800,0,0,0.0,0.803,0.489,0.275,0.481,0.87,2.787,7.401,3.054,1.013,7.179,0.0,0.0,0.339,0.156,0.0,0.0,0.0,0.0,0.0,48.42,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
87,"Cheese, Monterey",Cheese,392,22.62,1.9,0.5,0.0,32.63,19.2,6.68,0.899,100,192,192,0,0,0,0,0,0.015,0.39,0.093,0.079,0,18,18,18,15.4,0.83,0.0,0.0,0.0,0.26,0.0,2.5,715,471,30,0.0,3.78,0.0,14.5,83,662,0,0,0.0,0.982,0.244,0.306,0.563,1.03,3.04,9.3,2.82,0.923,7.368,0.0,0.0,0.739,0.261,0.0,0.0,0.0,0.0,0.0,39.18,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
